Rendah,PPD KINTA SELATAN,ABA2020,SK CHANGKAT TUALANG,"KG. CHANGKAT TUALANG, KOTA BAHRU",31610,GOPENG,PERAK,54690014,TIADA
Rendah,PPD KINTA SELATAN,ABA2021,SK KOTA BAHARU,JALAN DATUK SETIA,31610,GOPENG,PERAK,53595409,53595409
Rendah,PPD KINTA SELATAN,ABA2022,SK TUALANG SEKAH,JALAN MALIM NAWAR,31700,MALIM NAWAR,PERAK,54775145,54775145
Rendah,PPD KINTA SELATAN,ABA2023,SK MALIM NAWAR,KAMPUNG CHANGKAT BARU,31700,MALIM NAWAR,PERAK,54775506,54775506
Rendah,PPD KINTA SELATAN,ABA2024,SK KUALA DIPANG,KUALA DIPANG,31850,JERAM,PERAK,54775632,54775632
Rendah,PPD KINTA SELATAN,ABA2025,SK SAHOM,JLN CHENDERIANG,31920,KAMPAR,PERAK,TIADA,TIADA
Rendah,PPD KINTA SELATAN,ABA2026,SK KAMPAR,192 JLN BUKIT,31900,KAMPAR,PERAK,54651237,54651237
Rendah,PPD KINTA SELATAN,ABA2027,SK BUKIT PEKAN,JALAN KG. BUKIT PEKAN,31910,KAMPAR,PERAK,54660980,54660980
Rendah,PPD KINTA SELATAN,ABA2028,SK AIR HITAM LABU,WAKIL POS TRONOH MINES,31910,KAMPAR,PERAK,54667098,54667098
Rendah,PPD KINTA SELATAN,ABA2029,SK SUNGAI ITEK,JALAN DUSUN SERIBU,31600,GOPENG,PERAK,53593043,53593043
Rendah,PPD KINTA SELATAN,ABA2030,SK TOH INDERA WANGSA AHMAD,JALAN SULAIMAN,31000,BATU GAJAH,PERAK,53661253,53652576
Rendah,PPD KINTA SELATAN,ABA2031,SK SIPUTEH,SIPUTEH,31560,SIPUTEH,PERAK,53660621,53660621
Rendah,PPD KINTA SELATAN,ABA2032,SK TRONOH,JALAN BOTA LAMA,31750,TRONOH,PERAK,53679414,53677410
Rendah,PPD KINTA SELATAN,ABA2033,SK KG. SERI RAHMAT,JALAN CHANGKAT LARANG,31500,LAHAT,PERAK,53665516,53665516
Rendah,PPD KINTA SELATAN,ABA2034,SK TANJUNG TUALANG,BATU 7,31000,BATU GAJAH,PERAK,53702155,53702155
Rendah,PPD KINTA SELATAN,ABA2035,SK AYER PAPAN,KAMPUNG AYER PAPAN,31800,TANJONG TUALANG,PERAK,53607099,53607099
Rendah,PPD KINTA SELATAN,ABA2036,SK CHANGKAT TIN,CHANGKAT TIN,31800,TANJUNG TUALANG,PERAK,53607925,53607925
Rendah,PPD KINTA SELATAN,ABA2037,SK ULU GERUNTUM,JALAN ULU GERUNTUM,31600,GOPENG,PERAK,53599200,53599201
Rendah,PPD KINTA SELATAN,ABA2038,SK BAKAP,JALAN TG. TUALANG,31000,BATU GAJAH,PERAK,53668792,53668792
Rendah,PPD KINTA UTARA,ABA2039,SK PASUKAN POLIS HUTAN,JALAN PASUKAN POLIS HUTAN,31150,IPOH,PERAK,55335358,55331131
Rendah,PPD KINTA SELATAN,ABA2040,SK AYER DENAK,TRONOH,31750,TRONOH,PERAK,TIADA,TIADA
Rendah,PPD KINTA UTARA,ABA2041,SK MANJOI (SATU),"JALAN  MASJID, KG. MANJOI",30020,IPOH,PERAK,55260408,55286572
